dump line| message    | work id  | digitised b numbers            | Sierra system b numbers
      69 |            | pqs7gsun | b3012427x                      | b3012427x
     137 |            | thc7pjew | b21727259                      | b21727259
     174 |            | dfwfrjyr | b19878072                      | b19878072
     269 |            | ybkzz9w4 | b30131674                      | b30131674
     360 |            | y6295sdm | b29129278                      | b29129278
     408 |            | pu87xbqs | b29727418                      | b29727418
     470 |            | mep8fgaf | b28058938                      | b10237628,b28058938
     538 |            | rqwdp29y | b22346405                      | b22346405
     628 |            | z4ur8bhv | b21363900                      | b21363900
     695 |            | r52rvrzz | b16797747                      | b16797747
     727 |            | azmw3k7k | b20410281                      | b12135562,b20410281
     808 |            | c5rdk63a | b3020351x                      | b3020351x
     872 |            | frex8uny | b22285593                      | b22285593
     931 |            | rkgdgyju | b21003543                      | b21003543
     983 |            | httmmqr6 | b28824647                      | b28824647
    1035 |            | rbpwnyrx | b2925999x                      | b2925999x
    1100 |            | px892gh9 | b24920277                      | b24920277
    1163 |            | wrnbp69t | b29750544                      | b29750544
    1233 |            | z7p5x9bf | b16469239                      | b16469239
    1271 |            | q4cqntdx | b29939136                      | b29939136
    1315 |            | bcwkeeah | b28634718                      | b28634718
    1381 |            | qsrnhxev | b21727077                      | b21727077
    1429 |            | hk4bznju | b2915988x                      | b2915988x
    1477 |            | ufyxgc8j | b30249636                      | b30249636
    1548 |            | xhe6hgew | b22342953                      | b22342953
    1577 |            | cqakk5pv | b22401520                      | b22401520
    1617 |            | nkrtaxyh | b21524361                      | b21524361
    1669 |            | ky52qmr8 | b21912270                      | b21912270
    1731 |            | h9wa4y7w | b29537368                      | b29537368
    1818 |            | qsnj2h9f | b29155101                      | b29155101
    1883 |            | km4rc696 | b2990173x                      | b2990173x
    1933 |            | k463kwvz | b31486022                      | b31486022
    1963 |            | wy7wt7v7 | b21294872                      | b21294872
    2067 |            | pssve3ck | b21475404                      | b21475404
    2165 |            | zh74rn92 | b16789234                      | b16789234
    2255 |            | p5k3mrr8 | b22389581                      | b22389581
    2328 |            | cy9qvtd2 | b29798838                      | b29798838
    2413 |            | d3etq6bu | b29436709                      | b29436709
    2487 |            | zzw4tza3 | b21061828                      | b21061828
